date,block,barnacles,limpets,plot,Bgrec,Cdrec,#Lot,#Lot+added,#Lit,rawU,rawP,raws,rawperen,%U,%P,%s,%ephem,%peren,logBg,logCd,LogLit,t%ephem,t%peren,rawLdigchange,%Ldigchange,rawblockchange,%blockchange,cumulativeBgrec,cumulativeCdrec,log(cBg+1),log(cCd+1),note
08-Sep-06,D,yes,out,10,1,1,,,21,,,,,0.5,0,0,0.5,1,0.301029996,0.301029996,1.342422681,0.070769737,0.100167421,,,,,,,,,
08-Sep-06,E,yes,out,11,1,2,,,32,,,,,0,0,0,0,1,0.301029996,0.477121255,1.51851394,0,0.100167421,,,,,,,,,
08-Sep-06,F,yes,out,12,1,11,,,26,,,,,30,0,0,30,3,0.301029996,1.079181246,1.431363764,0.57963974,0.174083011,,,,,,,,,
08-Sep-06,A,yes,con,13,7,1,4,4,29,,,,,0,0,0,0,0.5,0.903089987,0.301029996,1.477121255,0,0.070769737,1,0.333333333,,,,,,,
08-Sep-06,B,yes,con,14,8,10,8,8,13,,,,,0,0,0,0,5,0.954242509,1.041392685,1.146128036,0,0.225513406,5,1.666666667,,,,,,,
08-Sep-06,C,yes,con,15,6,8,8,8,19,,,,,0,0,0,0,1.5,0.84509804,0.954242509,1.301029996,0,0.122782759,3,0.6,,,,,,,
08-Sep-06,D,yes,con,16,3,3,2,2,22,,,,,0,0,0,0,0,0.602059991,0.602059991,1.361727836,0,0,-5,-0.714285714,,,,,,,
08-Sep-06,E,yes,con,17,2,2,2,2,2,,,,,0,0,0,0,4.5,0.477121255,0.477121255,0.477121255,0,0.213756132,2,#DIV/0!,,,,,,,
08-Sep-06,F,yes,con,18,7,19,0,0,8,,,,,0.5,0,0,0.5,0,0.903089987,1.301029996,0.954242509,0.070769737,0,0,#DIV/0!,,,,,,,
08-Sep-06,A,no,in,19,0,0,2,3,3,,,,,0,0,0,0,0,0,0,0.602059991,0,0,0,0,,,,,,,
08-Sep-06,B,no,in,20,1,4,6,6,1,,,,,0,0,0,0,0,0.301029996,0.698970004,0.301029996,0,0,0,0,,,,,,,
08-Sep-06,C,no,in,21,2,4,7,7,12,,,,,0,0,0,0,0.5,0.477121255,0.698970004,1.113943352,0,0.070769737,0,0,,,,,,,
08-Sep-06,D,no,in,22,1,1,3,3,0,,,,,0,0,0,0,0,0.301029996,0.301029996,0,0,0,-1,-0.25,,,,,,,
08-Sep-06,E,no,in,23,0,0,2,2,1,,,,,0,0,0,0,0,0,0,0.301029996,0,0,0,0,,,,,,,
08-Sep-06,F,no,in,24,0,2,2,2,1,,,,,0,0,0,0,0,0,0.477121255,0.301029996,0,0,-2,-0.5,,,,,,,
08-Sep-06,A,no,out,25,0,0,,,3,,,,,0.5,0,0,0.5,0,0,0,0.602059991,0.070769737,0,,,,,,,,,
08-Sep-06,B,no,out,26,2,2,,,0,,,,,70,5,0,75,0,0.477121255,0.477121255,0,1.047197551,0,,,,,,,,,
08-Sep-06,C,no,out,27,0,0,,,1,,,,,80,0,0,80,0.5,0,0,0.301029996,1.107148718,0.070769737,,,,,,,,,
08-Sep-06,D,no,out,28,0,3,,,0,,,,,2,0,0,2,0,0,0.602059991,0,0.141897055,0,,,,,,,,,
08-Sep-06,E,no,out,29,1,0,,,0,,,,,1,0,0,1,0,0.301029996,0,0,0.100167421,0,,,,,,,,,
08-Sep-06,F,no,out,30,0,2,,,0,,,,,95,0,0,95,0,0,0.477121255,0,1.345282921,0,,,,,,,,,
08-Sep-06,A,no,con,31,0,0,1,1,1,,,,,0,0,0,0,0,0,0,0.301029996,0,0,-1,-0.5,,,,,,,
